"code","yr","mark","ringno","status"
"12I0A",2012,"HIGHFIELDS","0907","0"
"12I0A",2012,"HIGHFIELDS","0910","0"
"12I0A",2012,"HIGHFIELDS","0918","0"
"12I0A",2012,"HIGHFIELDS","0919","0"
"12I0A",2012,"HIGHFIELDS","0920","0"
"12I0A",2012,"HIGHFIELDS","0936","0"
"12I0A",2012,"HIGHFIELDS","0939","0"
"12I0A",2012,"HIGHFIELDS","0940","0"
"12I0A",2012,"HIGHFIELDS","0949","0"
"12I0A",2012,"HIGHFIELDS","0950","0"
"12I0A",2012,"HIGHFIELDS","0968","0"
"12I0A",2012,"HIGHFIELDS","0969","0"
"12I0A",2012,"HIGHFIELDS","0986","0"
"12I0A",2012,"GRPA","1769","0"
"12I0A",2012,"GRPA","1776","0"
"12I0A",2012,"GRPA","1764","0"
"12I0A",2012,"HIGHFIELDS","0963","0"
"12I0A",2012,"HIGHFIELDS","0962","0"
"12I0A",2012,"HIGHFIELDS","0942","0"
"12I0A",2012,"HIGHFIELDS","0913","0"
"12I0A",2012,"HIGHFIELDS","0858","0"
"12I0A",2012,"HIGHFIELDS","0789","0"
"12IP",2013,"SAMDPR","185","0"
"12IP",2013,"SAMDPR","186","0"
"12IP",2013,"SAMDPR","189","0"
"12IP",2013,"SAMDPR","190","0"
"12IP",2013,"SAMDPR","194","0"
"12IP",2013,"SAMDPR","203","0"
"12IP",2012,"HIGHFIELDS","0858","0"
"12IP",2012,"HIGHFIELDS","0878","0"
"12IP",2012,"HIGHFIELDS","0879","0"
"12IP",2012,"HIGHFIELDS","0887","0"
"12IP",2012,"HIGHFIELDS","0888","0"
"12IP",2012,"HIGHFIELDS","0900","0"
"12IP",2012,"HIGHFIELDS","0910","0"
"12IP",2012,"HIGHFIELDS","0920","0"
"12IP",2012,"HIGHFIELDS","0936","0"
"12IP",2012,"HIGHFIELDS","0949","0"
"12IP",2012,"HIGHFIELDS","0950","0"
"12IP",2012,"HIGHFIELDS","0968","0"
"12IP",2012,"HIGHFIELDS","0969","0"
"12IP",2012,"HIGHFIELDS","0986","0"
"12IP",2012,"GRPA","1769","0"
"12IP",2012,"GRPA","1776","0"
"12I0A",2011,"GCPC","1572","0"
"12I50",2011,"GCPC","1572","0"
"12I50",2013,"SAMDPR","202","0"
"12I50",2013,"SAMDPR","204","0"
"12I50",2012,"HIGHFIELDS","0789","0"
"12I50",2012,"HIGHFIELDS","0799","0"
"12I50",2012,"HIGHFIELDS","0800","0"
"12I50",2012,"HIGHFIELDS","0907","0"
"12I50",2012,"HIGHFIELDS","0913","0"
"12I50",2012,"HIGHFIELDS","0918","0"
"12I50",2012,"HIGHFIELDS","0919","0"
"12I50",2012,"HIGHFIELDS","0939","0"
"12I50",2012,"HIGHFIELDS","0940","0"
"12I50",2012,"HIGHFIELDS","0942","0"
"12I50",2012,"HIGHFIELDS","0962","0"
"12I50",2012,"HIGHFIELDS","0963","0"
"12I50",2012,"GRPA","1764","0"
"12I50",2013,"SAMDPR","188","0"
"13TBP",2012,"TRP","598","0"
"13TBP",2012,"TRP","700","0"
"14G50",2013,"GOLD COAST","1010","0"
"14G50",2013,"GOLD COAST","1012","0"
"14QLD",2013,"GOLD COAST","1011","0"
"14G50",2013,"MILLMERRAN","018","0"
"14MDP",2014,"SAMDPR","301","0"
"14MDP",2014,"SAMDPR","303","0"
"15BNB",2014,"QPF","3323","0"
"15BNB",2014,"QPF","3327","0"
"15BNB",2014,"QPF","3332","0"
"15BNB",2014,"QPF","3344","0"
"15BNS",2014,"QPF","3343","0"
"15BNS",2014,"QPF","3335","0"
"15BNS",2014,"QPF","3334","0"
"15BNS",2014,"QPF","3328","0"
"15PPL",2014,"SAMDPR","310","0"
"15PPL",2014,"SAMDPR","316","0"
"15PPL",2014,"SAMDPR","307","0"
"15PPL",2014,"SAMDPR","317","0"
"15PPL",2014,"SAMDPR","315","0"
"15PPL",2014,"SAMDPR","312","0"
"15PPL",2014,"SAMDPR","306","0"
"15PPL",2014,"SAMDPR","309","0"
"15PPL",2014,"SAMDPR","318","0"
"15PPL",2013,"MILLMERRAN","028","0"
"15PPL",2013,"GOLD COAST","1008","0"
"15PPL",2013,"GOLD COAST","1001","0"
"15PPL",2013,"TRP","1607","0"
"15PPL",2013,"TRP","1610","0"
"15PPL",2013,"TRP","1603","0"
"15PPL",2013,"TRP","1605","0"
"15PPL",2013,"TRP","1602","0"
"15PPL",2013,"TRP","1604","0"
"15PPL",2013,"TRP","1611","0"
"15PPL",2013,"TRP","1601","0"
"15PPL",2012,"GRPA","1773","0"
"15PPL",2012,"GRPA","1775","0"
"15PPL",2013,"GOLD COAST","1005","0"
"15PPL",2012,"HIGHFIELDS","0919","0"
"15PPL",2012,"HIGHFIELDS","0895","0"
"15PPL",2012,"HIGHFIELDS","0880","0"
"15PPL",2013,"GRPA","2013","0"
"15PPL",2013,"GRPA","2028","0"
"15PPL",2013,"GRPA","2019","0"
"15PPL",2013,"GRPA","2061","0"
"15PPL",2013,"GRPA","2035","0"
"15PPL",2013,"GRPA","2030","0"
"15PPL",2008,"DDRPA","3110","0"
"15QLD",2014,"QPF","3382","0"
"15MAT",2013,"GOLD COAST","1004","0"
"15MAT",2012,"HIGHFIELDS","0982","0"
"15JAH",2014,"QPF","3346","0"
"15JAH",2014,"QPF","3347","0"
"15JAH",2014,"QPF","3366","0"
"15JAH",2014,"QPF","3337","0"
"15BNS",2014,"QPF","3368","0"
"15BNS",2014,"QPF","3362","0"
"15BNS",2014,"QPF","3354","0"
"15BNS",2014,"QPF","3364","0"
"15BNS",2014,"QPF","3351","0"
"15BNS",2014,"QPF","3365","0"
"15BNS",2014,"QPF","3360","0"
"15BNB",2014,"QPF","3358","0"
"15PPL",2014,"SAMDPR","319","0"
"15PPL",2013,"GOLD COAST","1004","0"
"15QLD",2014,"QPF","3356","0"
"15QLD",2014,"QPF","3376","0"
"15QLD",2014,"QPF","3384","0"
"15QLD",2014,"QPF","3333","0"
"15QLD",2014,"QPF","3361","0"
"15JAH",2014,"QPF","3373","0"
"15JAH",2014,"QPF","3395","0"
"15CBD",2014,"QPF","3389","0"
"15CBD",2014,"QPF","3390","0"
"15CBD",2014,"QPF","3388","0"
"15CBD",2014,"QPF","3391","0"
"15CBD",2014,"QPF","3394","0"
"15CBD",2014,"QPF","3396","0"
"15CBD",2014,"QPF","3397","0"
"15GCA",2014,"QPF","3380","0"
"14IMP",2014,"QPF","3333","0"
"14IMP",2014,"QPF","3359","0"
"14IMP",2014,"QPF","3332","0"
"14IMP",2014,"QPF","3358","0"
"14IMP",2014,"QPF","3370","0"
"14IMP",2014,"QPF","11715","0"
"14IMP",2014,"QPF","11714","0"
"14I50",2014,"QPF","3380","0"
"14I50",2014,"QPF","3381","0"
"14I50",2014,"QPF","3312","0"
"14I50",2014,"QPF","3311","0"
"14I50",2014,"QPF","3341","0"
"14I50",2014,"QPF","3379","0"
"14I50",2014,"QPF","3305","0"
"14I50",2014,"QPF","3307","0"
"14I50",2014,"QPF","3383","0"
"14I50",2014,"QPF","3355","0"
"14I50",2014,"SAMDPR","312","0"
"14I50",2014,"SAMDPR","313","0"
"14I50",2014,"QPF","3398","0"
"14I50",2014,"QPF","3399","0"
"14I50",2014,"QPF","3362","0"
"14I50",2014,"QPF","3354","0"
"14IMP",2014,"QPF","3369","0"
"14I50",2013,"TRP","1601","0"
"14I50",2013,"TRP","1602","0"
"14I50",2013,"TRP","1609","0"
"14I50",2013,"GRPA","2028","0"
"14I50",2013,"GRPA","2061","0"
"14I50",2013,"GRPA","2019","0"
"15BLU",2014,"QPF","3338","0"
"15BLU",2014,"MILLMERRAN","5053","0"
"15BLU",2014,"QPF","3374","0"
"15BLU",2014,"QPF","3339","0"
"15BLU",2014,"MILLMERRAN","5072","0"
"15BLU",2014,"MILLMERRAN","5071","0"
"15BLU",2014,"QPF","3371","0"
"15BLU",2014,"QPF","3352","0"
"15BLU",2014,"QPF","3312","0"
"15BLU",2014,"QPF","3342","0"
"15BLU",2014,"QPF","3398","0"
"15BLU",2014,"QPF","11705","0"
"15BLU",2014,"QPF","11706","0"
"15BLU",2014,"QPF","3375","0"
"15BLU",2014,"QPF","3341","0"
"15BLU",2014,"QPF","3353","0"
"15BPT",2014,"QPF","3378","0"
"15BPT",2014,"QPF","3377","0"
"15BPT",2014,"QPF","3363","0"
"15BPT",2014,"QPF","3349","0"
"14PB",2014,"QPF","3340","0"
"14PB",2014,"QPF","3367","0"
"15BPT",2014,"QPF","3386","0"
"15BPT",2014,"QPF","3387","0"
"15BLU",2014,"QPF","3302","0"
"15BLU",2014,"QPF","11715","0"
"15BLU",2014,"QPF","11714","0"
"15BLU",2014,"QPF","11713","0"
"15BLU",2014,"QPF","11712","0"
"15BLU",2014,"QPF","11716","0"
"15BLU",2014,"QPF","11717","0"
"15BLU",2014,"QPF","11701","0"
"15BLU",2014,"QPF","11703","0"
"15BLU",2014,"QPF","11704","0"
"15BLU",2014,"QPF","11707","0"
"15BLU",2014,"QPF","11708","0"
"15BLU",2014,"QPF","11710","0"
"15BLU",2014,"QPF","11709","0"
"15BLU",2014,"QPF","11719","0"
"15BLU",2014,"QPF","11723","0"
"15BLU",2014,"QPF","11724","0"
"15BLU",2014,"QPF","3345","0"
"15BLU",2014,"QPF","3348","0"
"15BLU",2014,"QPF","3350","0"
"15BLU",2014,"QPF","3392","0"
"15SAL",2014,"QPF","11715","0"
"15SAL",2014,"QPF","11716","0"
"15SAL",2014,"QPF","11717","0"
"15SAL",2014,"QPF","3357","0"
"15SAL",2014,"QPF","3359","0"
"15SAL",2014,"QPF","3369","0"
"15SAL",2014,"QPF","3370","0"
"15CBD",2014,"QPF","11711","0"
"15CBD",2014,"SAMDPR","302","0"
"15CBD",2014,"QPF","11718","0"
"15CBD",2014,"QPF","3400","0"
"15CBD",2014,"QPF","11713","0"
"15GRE",2014,"QPF","3372","0"
"15GRE",2014,"QPF","3379","0"
"15GRE",2014,"QPF","3381","0"
"15GRE",2014,"QPF","3383","0"
"15GRE",2014,"QPF","3385","0"
"15GRE",2014,"QPF","3393","0"
"15GRE",2014,"QPF","3399","0"
"15GCA",2014,"QPF","3383","0"
"15GCA",2014,"QPF","3399","0"
"15GCA",2014,"QPF","11720","0"
"15GCA",2014,"QPF","11714","0"
"15GCA",2014,"QPF","11717","0"
"15GCA",2014,"QPF","3385","0"
"15BLU",2013,"TRP","1606","0"
"15BLU",2014,"QPF","3395","0"
"15BLU",2014,"QPF","3357","0"
"15BLU",2014,"QPF","3359","0"
"15BLU",2014,"QPF","11726","0"
"15BLU",2010,"GCPC","668","0"
"15BLU",2014,"QPF","3370","0"
"15BLU",2011,"GCPC","1255","0"
"15BLU",2012,"HIGHFIELDS","0942","0"
"15BLU",2011,"GCPC","1226","0"
"15BLU",2014,"QPF","3393","0"
"15PPL",2014,"SAMDPR","313","0"
"15PPL",2014,"SAMDPR","304","0"
"15PPL",2014,"QPF","3355","0"
"15PPL",2014,"MILLMERRAN","5071","0"
"15PPL",2014,"SAMDPR","314","0"
"15PPL",2014,"QPF","3319","0"
"15PPL",2014,"SAMDPR","320","0"
"15RED",2014,"QPF","3305","0"
"15RED",2014,"QPF","3320","0"
"15RED",2014,"QPF","3307","0"
"15RED",2014,"QPF","3316","0"
"15RED",2014,"QPF","3324","0"
"15RED",2014,"QPF","3372","0"
"15RED",2014,"QPF","3321","0"
"15RED",2014,"QPF","3313","0"
"15RED",2014,"QPF","3303","0"
"15RED",2014,"QPF","3301","0"
"15RED",2014,"QPF","3322","0"
"15RED",2014,"QPF","3310","0"
"15RED",2014,"QPF","3336","0"
"15RED",2014,"QPF","3326","0"
"15RED",2013,"TRP","1612","0"
"15RED",2014,"QPF","3308","0"
"15RED",2014,"QPF","3381","0"
"15RED",2014,"QPF","3311","0"
"15RED",2014,"QPF","3315","0"
"15RED",2014,"QPF","3328","0"
"15RED",2014,"QPF","3325","0"
"15RED",2014,"QPF","3314","0"
"15RED",2014,"QPF","3318","0"
"15RED",2014,"QPF","3329","0"
"15RED",2014,"QPF","3317","0"
"15RED",2014,"QPF","3331","0"
"15RED",2014,"QPF","3304","0"
"15RED",2014,"QPF","3330","0"
"15RED",2013,"TRP","1609","0"
"15YEL",2014,"QPF","11719","0"
"15YEL",2014,"QPF","11730","0"
"15YEL",2014,"QPF","11728","0"
"15YEL",2014,"TRP","660","0"
"15YEL",2014,"TRP","659","0"
"15YEL",2013,"TRP","1652","0"
"15YEL",2014,"QPF","11723","0"
"15YEL",2014,"QPF","11727","0"
"15YEL",2014,"QPF","11724","0"
"15YEL",2014,"QPF","3392","0"
"15YEL",2014,"QPF","3381","0"
"15YEL",2014,"QPF","3323","0"
"15YEL",2014,"QPF","3307","0"
"15YEL",2014,"QPF","11726","0"
"15YEL",2014,"SAMDPR","313","0"
"15YEL",2013,"GOLD COAST","1001","0"
"15YEL",2014,"QPF","3304","0"
"15YEL",2014,"QPF","3320","0"
"15YEL",2014,"QPF","3359","0"
"15YEL",2014,"QPF","11708","0"
"15NS1",2014,"SAMDPR","304","0"
"15NS1",2014,"SAMDPR","307","0"
"15NS1",2014,"SAMDPR","316","0"
"15NS1",2014,"SAMDPR","317","0"
"15NS1",2014,"QPF","3305","0"
"15NS1",2014,"QPF","3309","0"
"15NS1",2014,"QPF","3311","0"
"15NS1",2014,"QPF","3312","0"
"15NS1",2014,"QPF","3313","0"
"15NS1",2014,"QPF","3315","0"
"15NS1",2014,"QPF","3316","0"
"15NS1",2014,"QPF","3339","0"
"15NS1",2014,"QPF","3352","0"
"15NS1",2014,"QPF","3353","0"
"15NS1",2014,"QPF","3395","0"
"15NS1",2014,"QPF","11704","0"
"15NS1",2014,"QPF","11705","0"
"15NS1",2014,"QPF","11710","0"
"15NS1",2013,"MILLMERRAN","028","0"
"15NS1",2013,"TRP","1602","0"
"15NS1",2013,"TRP","1605","0"
"15NS1",2013,"TRP","1607","0"
"15NS1",2013,"TRP","1609","0"
"15NS1",2013,"TRP","1611","0"
"15NS1",2013,"GRPA","2019","0"
"15NS1",2013,"GRPA","2028","0"
"15NS1",2013,"GRPA","2035","0"
"15NS1",2013,"GRPA","2061","0"
"15NS1",2012,"GRPA","1775","0"
"15NS1",2013,"LCPC","1689","0"
"15NS1",2014,"QPF","3308","0"
"15SYB",2014,"QPF","11722","0"
"15SYB",2014,"QPF","11721","0"
"15SYB",2013,"TRP","1654","0"
"15SYB",2013,"TRP","1655","0"
"15SYB",2014,"QPF","11729","0"
"15SYB",2013,"GOLD COAST","1003","0"
"15SYB",2013,"TRP","1662","0"
"15SYB",2013,"TRP","1661","0"
"15SYB",2013,"TRP","1660","0"
"15SYB",2013,"TRP","1659","0"
"15SYB",2013,"TRP","1658","0"
"15SYB",2013,"TRP","1657","0"
"15SYB",2013,"TRP","1656","0"
"15NS1",2014,"QPF","3330","0"
"15NS1",2014,"QPF","3318","0"
"15NS1",2014,"QPF","3303","0"
"15NS1",2014,"QPF","3338","0"
"15NS1",2014,"QPF","11709","0"
"15NS1",2010,"GCPC","668","0"
"15NS1",2011,"GCPC","1226","0"
"15NS1",2012,"GRPA","1773","0"
"15NS1",2012,"HIGHFIELDS","0880","0"
"15NS1",2013,"GRPA","2013","0"
"15NS1",2014,"QPF","3310","0"
"15NS1",2014,"MILLMERRAN","5071","0"
"15NS1",2014,"SAMDPR","314","0"
"15NS1",2014,"QPF","11703","0"
"15NS1",2013,"TRP","1606","0"
"15NS1",2014,"QPF","11701","0"
"15NS1",2014,"QPF","3322","0"
"15NS1",2014,"QPF","3372","0"
"15NS1",2014,"SAMDPR","313","0"
"15NS1",2014,"QPF","3342","0"
"15NS1",2014,"QPF","3370","0"
"15RTG",2014,"SAMDPR","320","0"
"15RTG",2014,"QPF","11715","0"
"15RTG",2013,"TRP","1612","0"
"15RTG",2014,"QPF","11712","0"
"15RTG",2013,"GOLD COAST","1001","0"
"15RTG",2014,"QPF","3359","0"
"15RTG",2013,"TRP","1603","0"
"15RTG",2014,"QPF","3398","0"
"15RTG",2014,"QPF","3325","0"
"15RTG",2014,"SAMDPR","309","0"
"15RTG",2014,"SAMDPR","315","0"
"15RTG",2013,"TRP","1610","0"
"15RTG",2014,"QPF","3371","0"
"15RTG",2013,"TRP","1609","0"
"15RTG",2014,"QPF","3301","0"
"15RTG",2014,"QPF","3379","0"
"15RTG",2014,"SAMDPR","319","0"
"15RTG",2014,"QPF","3381","0"
"15RTG",2014,"QPF","3345","0"
"15RTG",2014,"SAMDPR","310","0"
"15RTG",2014,"MILLMERRAN","5053","0"
"15RTG",2014,"QPF","3317","0"
"15RTG",2014,"QPF","3304","0"
"15RTG",2014,"QPF","3336","0"
"15RTG",2014,"QPF","3375","0"
"15RTG",2014,"QPF","3328","0"
"15RTP",2014,"QPF","3321","0"
"15RTP",2014,"QPF","3324","0"
"15RTP",2014,"QPF","3310","0"
"15RTP",2014,"QPF","3398","0"
"15RTP",2014,"QPF","3393","0"
"15RTP",2014,"QPF","3374","0"
"15RTP",2014,"QPF","3326","0"
"15RTP",2014,"QPF","3344","0"
"15RTP",2011,"GCPC","1226","0"
"15RTP",2014,"TRP","659","0"
"15RTP",2014,"QPF","11726","0"
"15RTP",2014,"QPF","11728","0"
"15RTP",2014,"MILLMERRAN","5053","0"
"15RTP",2013,"TRP","1604","0"
"15RTP",2014,"QPF","11727","0"
"15RTP",2013,"GOLD COAST","1008","0"
"15RTG",2013,"TRP","1605","0"
"15RTG",2014,"QPF","3339","0"
"15RTG",2014,"QPF","11705","0"
"15RTG",2014,"QPF","11710","0"
"15RTG",2014,"QPF","11709","0"
"15RTG",2014,"QPF","3338","0"
"15RTG",2014,"SAMDPR","313","0"
"15RTG",2013,"TRP","1604","0"
"15RTG",2013,"GOLD COAST","1008","0"
"15RTG",2014,"QPF","3321","0"
"15RTG",2014,"QPF","3392","0"
"15RTG",2014,"QPF","3322","0"
"15RTG",2014,"QPF","3310","0"
"15RTG",2014,"QPF","3374","0"
"15RTG",2014,"QPF","3372","0"
"15RTG",2014,"QPF","11728","0"
"15RTG",2014,"QPF","11701","0"
"15RTG",2014,"QPF","3344","0"
"15RTG",2014,"MILLMERRAN","5071","0"
"15RTG",2014,"SAMDPR","306","0"
"15RTG",2014,"QPF","11727","0"
"15RTG",2014,"QPF","11708","0"
"15RTG",2014,"QPF","3324","0"
"15RTG",2014,"QPF","3326","0"
"15SYB",2013,"TRP","1663","0"
"15SYB",2014,"SAMDPR","318","0"
"15SYB",2013,"TRP","1653","0"
"15TDP",2014,"SAMDPR","318","0"
"15TDP",2013,"TRP","1657","0"
"15TDP",2013,"TRP","1656","0"
"15MAC",2014,"SAMDPR","316","0"
"15MAC",2012,"HIGHFIELDS","0880","0"
"15MAC",2013,"TRP","1602","0"
"15MAC",2013,"TRP","1605","0"
"15MAC",2013,"TRP","1611","0"
"15MAC",2013,"GRPA","2028","0"
"15MAC",2013,"GRPA","2061","0"
"15MAC",2014,"QPF","3303","0"
"15MAC",2014,"QPF","3313","0"
"15MAC",2014,"QPF","3316","0"
"15MAC",2014,"QPF","3352","0"
"15MAC",2014,"QPF","11710","0"
"15MAC",2014,"QPF","11703","0"
"15MAC",2014,"QPF","3312","0"
"15RTG",2014,"SAMDPR","316","0"
"15RTG",2014,"QPF","3312","0"
"15RTG",2014,"QPF","3305","0"
"15RTG",2014,"QPF","11703","0"
"15RTG",2013,"TRP","1602","0"
"15RTG",2014,"QPF","3318","0"
"15RTG",2012,"HIGHFIELDS","0880","0"
"15RTG",2014,"QPF","11758","0"
"15RTG",2014,"QPF","3350","0"
"15RTG",2012,"GRPA","1775","0"
"15RTG",2012,"GRPA","1773","0"
"15RTG",2014,"QPF","3320","0"
"15RTG",2014,"NRC","3780","0"
"15RTG",2014,"NGC","1025","0"
"15TDP",2013,"GOLD COAST","1003","0"
"15RTG",2013,"GRPA","2028","0"
"15RTG",2014,"QPF","3303","0"
"15RTG",2014,"QPF","3319","0"
"15CB",2014,"QPF","3308","0"
"15CB",2014,"QPF","3318","0"
"15CB",2014,"QPF","3321","0"
"15CB",2014,"QPF","3322","0"
"15CB",2013,"TRP","1603","0"
"15CB",2013,"TRP","1605","0"
"15CB",2013,"TRP","1611","0"
"15CB",2013,"GRPA","2061","0"
"15CB",2014,"QPF","3352","0"
"15CB",2013,"TRP","1609","0"
"15CB",2014,"SAMDPR","319","0"
"15WIN",2014,"QPF","3321","0"
"15WIN",2014,"QPF","3322","0"
"15WIN",2013,"TRP","1603","0"
"15WIN",2013,"TRP","1610","0"
"15WIN",2013,"GRPA","2061","0"
"15WIN",2014,"QPF","11758","0"
"15WIN",2014,"QPF","3310","0"
"15WIN",2014,"QPF","3317","0"
"15WIN",2014,"QPF","3304","0"
"15WIN",2014,"QPF","3371","0"
"15WIN",2014,"QPF","11709","0"
"15WIN",2014,"QPF","3345","0"
"15WIN",2013,"TRP","1609","0"
"15WIN",2014,"QPF","3319","0"
"15WIN",2014,"QPF","3352","0"
"15WIN",2014,"QPF","3312","0"
"15WIN",2013,"TRP","1611","0"
"15WIN",2013,"TRP","1605","0"
"15WIN",2014,"QPF","3318","0"
"15WIN",2014,"QPF","3308","0"
"15T2",2015,"QPF","7058","0"
"15T2",2015,"QPF","7059","0"
"15T2",2015,"QPF","7061","0"
"15T2",2015,"QPF","7063","0"
"15T2",2015,"QPF","7064","0"
"15T2",2015,"QPF","7065","0"
"15T2",2015,"QPF","7066","0"
"15T2",2015,"QPF","7069","0"
"15T2",2015,"QPF","7068","0"
"15T2",2015,"QPF","7070","0"
"15T2",2015,"QPF","7078","0"
"15T2",2015,"QPF","7079","0"
"15T2",2015,"QPF","7080","0"
"15T2",2015,"QPF","7081","0"
"15T2",2015,"QPF","7082","0"
"15T2",2015,"QPF","7085","0"
"15T2",2015,"QPF","7086","0"
"15T2",2015,"QPF","7089","0"
"15T2",2015,"QPF","7090","0"
"15T2",2015,"QPF","7092","0"
"15T2",2015,"QPF","7088","0"
"15T2",2015,"QPF","7087","0"
"15T2",2015,"QPF","7098","0"
"15T2",2015,"QPF","7095","0"
"15T2",2015,"QPF","7096","0"
"15T2",2015,"QPF","7097","0"
"15T2",2015,"QPF","7036","0"
"15T2",2015,"QPF","7038","0"
"15T2",2015,"QPF","7039","0"
"15T2",2015,"QPF","7041","0"
"15T2",2015,"QPF","7044","0"
"15T2",2015,"QPF","7045","0"
"15T2",2015,"QPF","7048","0"
"15T2",2015,"QPF","7050","0"
"15T2",2015,"QPF","7051","0"
"15T2",2015,"QPF","7054","0"
"15T2",2015,"QPF","7056","0"
"15T2",2015,"NRC","2758","0"
"15T2",2015,"QPF","7046","0"
"15T2",2015,"QPF","7060","0"
"15T2",2015,"QPF","7083","0"
"15T2",2015,"QPF","7094","0"
"15T2",2015,"QPF","7052","0"
"15T2",2015,"QPF","7099","0"
"15T2",2015,"QPF","7049","0"
"15T2",2015,"QPF","7053","0"
"16JH",2015,"QPF","7043","0"
"16JH",2015,"QPF","7064","0"
"16CB",2015,"QPF","7068","0"
"16J",2015,"QPF","7044","0"
"16GC5",2015,"QPF","7088","0"
"16QLD",2015,"QPF","7096","0"
"16GC5",2015,"QPF","8989","0"
"16GC5",2015,"QPF","8951","0"
"16QLD",2015,"QPF","7070","0"
"16JH",2015,"QPF","8990","0"
