"yr","mark","ringno","birdname","bredby","bredfor","bloodline","dob","codesex","codecolour","codeeye","codecage","racelast","RaceLastDte","BredLastDte","indracelast","indstock","indrace","indsoh","indref","indbpa","indbpb","indsp1","indsp2","indstatus","indbredforstock","status","notes","sireyr","siremark","sireringno","damyr","dammark","damringno","notespedg","codes","dob_li","AqDate","AqValue","AqStatus","DisDate","DisValue","dDOB","DisStatus","codebline","Rating","RatingPerf","RatingBloodLine","RatingCustom","RatingBreeder","indDNACert","indBredSnglPen","indPedgOnly","indBF","indBFCol","indTF","indThroat","indBredSglPen","indImport","Seq","Cat","LotNo","SeqRef","SeqSale"
2010,"GCPC","892","1st Fed Coopers","Annets","","","","H","PC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","1st club 1st Fed Coopers Crossing South 938mpm 1050 klms. Dam of 1277 which won 5th FED Tambo and 20th FED Augathella.",,"","",,"","","","",40330,"",0,"","",0,"1/06/2010","","NA",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2007,"GCPC","7806","","Kevin Brumby","","","","C","RC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","",,"","",,"","","","",39234,"",0,"","",0,"1/06/2007","","SVR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2008,"AUST","3731","","Barry Devine","","","","H","BBWF","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","Annets puyrchased at Barry Devines Auction in Brisbane in 2009",,"","",,"","","","",39600,"",0,"","",0,"1/06/2008","","SVR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","632","Staffy Cock","Annets","","","","C","M","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Pure Staf Van Reet, bred Down off Imported Staf Van Reets",2007,"GCPC","7806",2008,"AUST","3731","","",40330,"",0,"","",0,"1/06/2010","","SVR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2006,"GCPC","6485","","Annets","","","","C","BLK","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Raced for 3 years",,"","",,"","","","",38869,"",0,"","",0,"1/06/2006","","TFG",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2008,"LRPC","95","","Ros Adamski","","","","C","GRZ","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","True","","Sire of 1277 which won 5th FED Tambo and 20th FED Augathella.",,"","",,"","","","",39600,"",0,"","",0,"1/06/2008","","MC",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2007,"GCPC","7059","Nicks 5th Fed","Nick Annets","","","","H","BB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","In 2009 won 1st Club 5th FED Noccatunga (1030Klms). Top producer and base breeder for Nick Annetts.",2000,"GCPC","10088",2003,"GCPC","3469","","",39234,"",0,"","",0,"1/06/2007","","GS",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","657","","Annets","","","","H","GRZ","NA","NA","","","","False","False","True","False","False","False","False","False","False","False","False","","Daughter of 7059 Nick Annets 1st Club 5th FED Noccatunga in 2009 plus many other CB's.",2008,"LRPC","95",2007,"GCPC","7059","","",40330,"",0,"","",0,"1/06/2010","","S1X",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1237","Jack","Annets","","","","C","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Bred for Stock from 1st Fed Coopers Crossing 1000klms 2011 for N&J Annetts. Sire of 922 which gained 8th Club 19th Fed Cunnamulla 1172mpm 615 klms. Sire of 7th Club (TRP) Moonie 154 klms (1445mpm) and 922 8th Club 19th Fed Cunnamulla 1172mpm 615 klms. Sire is son J&N Annetts 1st club 1st Fed Coopers Crossing in 2011 1000klms.",2008,"LRPC","95",2010,"GCPC","892","","",40695,"",0,"","",0,"1/06/2011","","SW",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"GCPC","1277","","Annets","","","","C","GRZ","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","True","","Daughter of 1st Fed Coopers Crossing. 1277 Won 5th FED Tambo and 20th FED Augathella.",2008,"LRPC","95",2010,"GCPC","892","","",40695,"",0,"","",0,"1/06/2011","","NA",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2010,"GCPC","668","","Annets","","","","C","GRZ","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","Won 1st Club, 5th FED Noccundra (990 klms, 940 mpm). Son of 2nd FED Cunnamulla (640 klms). Sires brother 1st Club 1st FED Noccatunga for Chris Pryor.",2007,"QPF","3983",2007,"GCPC","7031","","",40330,"",0,"","",0,"1/06/2010","","ANN",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2007,"GCPC","7030","","Annets","","","","H","GRZ","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Won 1st Club, 2nd FED Cunnamulla (640 klms). Sire of 668 1st Club 5th FED Noccundra for Annets in 2011. (Goodger, O'Tool blood).",,"","",,"","","","",39234,"",0,"","",0,"1/06/2007","","ANN",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2006,"GCPC","006019","2nd FED Morney","Annets","","","","H","BB","NA","NA","","","","False","False","False","False","False","False","False","False","False","False","False","","Won 1st club 2nd FED Morney (1140 klms). 1/2 sister 8th FED Thargaminda (800Klms) plus others. 1/2 Sister to 4th FED Mungallala 448Klms 1421mpm. Dam is old Moziac Harrison hen line full of winners. I originally purchased this hen from John & Nick Annets. I am flying youngsters off this hen this year. SOLD at TDPF Auction July 2016.",2000,"UNKNOWN","000008",2003,"GCPC","3189","","",38869,"",0,"","",0,"1/06/2006","","ANN",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2000,"UNKNOWN","00003","Bro CF Dbl FED W","Charley Fuller","","","","C","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","Brother to Charley Fullers Double FED Winner.",,"","",,"","","","",36678,"",0,"","",0,"1/06/2000","","NA",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2008,"AUST","3705","","Barry Devine","","","","H","PBB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Nick Annets purchased from Barry Devines Brisbane Auction in 2009.",2005,"LIV","3365",2006,"CCF","38046","","",39600,"",0,"","",0,"1/06/2008","","SVR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2000,"UNKNOWN","00004","Warren B Cirockb","Warren Bloomfield","","","","C","PBB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","Bred by Warren Bloomfield for Nick Annets.",,"","",,"","","","",36678,"",0,"","",0,"1/06/2000","","NA",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","875","Ace Man","Annets","","","","C","PBB","NA","NA","","","","False","False","False","False","False","False","False","False","False","False","True","","Sired 1279 1st Club, 1st FED Tambo 5bird (648 klms) only 5 birds on day, 1279 also 2nd Club 9th FED Augathella 562 klms + 1222 2nd club 9th Fed Mungallalah 448 klms. Top producer 1st year at stock. Son Warren Bloomfield cock bred for stock.",2001,"GCPC","5",2009,"GCPC","303","","",40330,"",0,"","",0,"1/06/2010","","GS",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2000,"UNKNOWN","000006","SIRE 1st FED","Annets","","","","C","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Sire of 1st Club, 1st FED WINTON 1050Klms, tough race with headwind last race of a tough season. Bloodline is the old Mulligans Harrisons of David Wards old BB x Les Hansons W/F Hen bred off Neil Palmblads Windorah smash winner (old Laurie Trapp distance bloodlines).",,"","",,"","","","",36678,"",0,"","",0,"1/06/2000","","HR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","715","","Annets","","","","C","DC","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","Well bred cockbird with best of Annetts Ace blood. 1/2 Bro Winton Fed Winner having same sire (D Ward x Les Wht Flight Harrison sister Moziac Hen). ALSO 1/2 Brother to 2nd Fed Cunnamulla having same Dam (K Klegg Grizzle hen).",2000,"UNKNOWN","000006",2000,"UNKNOWNKLEGG","00000","","",40330,"",0,"","",0,"1/06/2010","","HR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","707","","Annets","","","","H","BC","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","True","","Out of BC Cock Joe Briffa Dordan from FED Auction x BC Hen ex FED Auction Joe Briffa Old Brisbane Blood. Has flown Noccundra 2011 as yearling and Barcaldine as 2 year old.",,"","",,"","","","",40330,"",0,"","",0,"1/06/2010","","OTR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","895","Bro2ndFedMorven","Annets","","","","C","BC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Son Quilpie FED Winner x Red Check Cock??? Brother 2nd Fed Morven.",2000,"UNKNOWN","00010",2001,"GCPC","680","","",40330,"",0,"","",0,"1/06/2010","","ANN",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","899","Tough Nut","Annets","","","","H","DC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","1st Club Brigalow, 2nd Club Drillham in 2012. Flew Coopers Crossing 1000Klms in 2011 for Annetts. In 2013 flew all point West to THARGAMINDAH being my 2nd bird home at 5:20am Day 2 (I won Fed only 4 day birds). Annets purchased sire at TDPF stockbird sale from Richard Balkie (Howard & Eugene may have the Sticklebaut Sire). 899 is Dam of 1772 8th Club 19th Fed Cunnamulla 615klms 1051.87mpm. 899 has flown for 3 years flying the tough long distance race each season. As a yearling with John & Nick Annetts, as a two year old she flew the North West then as a 3 year old flew the West. Has been a very consistant bird. Dam 5th Club Gympie",2009,"UNKNOWN","0000000",2000,"MOZIAC","00000","","",40330,"",0,"","",0,"1/06/2010","","STX",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"GCPC","1279","1st Fed TAMBO","Annets","","","","H","BC","NA","NA","","","","False","True","False","True","False","False","False","False","False","False","False","","This hen is winner double FED positions - 1st FED Tambo 5 birder clocked in dark at 6:10pm only 5 day birds clocked. 1279 also won 2nd Club 9th FED Augathella 562 klms. Went on to fly hard WINTON 1065klms homing badly hawked. Great hen always with the leaders. 1279s sister 1222 gained 2nd club 9th Fed Mungallalah 448klm. 1279 is the Dam of 979 1st Club WPC 5th Fed Eulo (670klms) for N Jeffries. 1279s Sire was bred from Daughter N Annetts foundation pair x Cock from Warren Bloomfields best Godfrey Stevens blood. Also1279s Dam was 1st Club 11th TDPF Breeders Plate for Nick Annetts. 1279 dam 9th TDPF Breeders plate Nebine Creek 2013.",2010,"GCPC","875",2008,"GCPC","8228","","",40695,"",0,"","",0,"1/06/2011","","ANN",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"GCPC","1250","","Annet","","","","H","BC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Daughter of 2nd FED Cunnamulla 640 klms.",2007,"QPF","3983",2007,"GCPC","7031","","",40695,"",0,"","",0,"1/06/2011","","NA",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1251","","Annet","","","","H","GRZ","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","Daughter of 2nd FED Cunnamulla 640 klms.",2007,"QPF","3983",2007,"GCPC","7031","","",40695,"",0,"","",0,"1/06/2011","","ANN",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1226","","Annet","","","","H","BB","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","J&N Annetts bred, I rehomed to fly North West series in 2012. Flew all points to BARCALDINE 794klms 4th b home. Flew as 2 year old West & won 2nd club TRP, 2nd FED TDPF 5 birder Eulo 680klms 1284mpm, 7th Club 10th Fed Cunnamulla 615klms, 4th Club 10th Fed Eulo 5 Birder 680klm",2000,"UNKNOWN","00003",,"","","","",40695,"",0,"","",0,"1/06/2011","","ANN",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2000,"UNKNOWN","000008","old mealy cock","Annetts","","","","C","M","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","",,"","",,"","","","",36678,"",0,"","",0,"1/06/2000","","NA",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2004,"GCPC","4763","DRung Inbred Har","Annets","","","","H","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Double Rung 4763,4761 Harrison bred for stock, Inbred to Ace Harrison family that have been producing winners for generations for John and Nick Annets.",,"","",,"","","","",38139,"",0,"","",0,"1/06/2004","","HR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1244","","Annet","","","","H","BB","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","",2009,"GCPC","356",2004,"GCPC","4763","","",40695,"",0,"","",0,"1/06/2011","","ANN",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2009,"GCPC","356","Dbl Rung Cock","Annets","","","","C","BB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","",,"","",,"","","","",39965,"",0,"","",0,"1/06/2009","","GS",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1257","1st FED WINTON","Annets","","","","C","BCWF","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","1st Club 1st FED Winton 1060 klms 958 mpm, hard race headwind in the last race of a hard season. Only young bird and only cock clocked 2nd day. Real Ironbird flew Tambo 5B 26/8 2nd Bird home, Blackall 2/9 2nd bird home befire winning Winton Fed 1060kms. Contains the best of the old Toowoomba Distance blood of John & Nick Annetts blended with imported Sticklebaut blood. 1257 Sired 3352 2nd Sect QPF Mackay 890k + flew Quilpie 865klms on day 6:10pm. 1257 Sire 64 1st Club 7th Nth Sect Townsville, 1257 G/Sire 1st NRC Combine Forresters Beach 2018 who dam OLR top performances. 1257 Sire & G/Sire top racers & breeders.",2000,"MOZIAC","000006",2009,"GCPC","6002","","",40695,"",0,"","",0,"1/06/2011","","SWH",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"GCPC","1255","Iron Lady","Kieran Malone","","","","H","BCTE","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","Got hawked badly in toss as young bird in 2012 season, hence 1st Race was at 300Klms, only competed in 4 races concluding with hard WINTON 1065klms. As 2 year old clocked at very hard COOPERS CROSSING 1000klms 746mpm for 7th club 16th Fed. Also Nebine Creek 505klms Team bird 4th Club 7th Fed 960 mpm. Very bright hen that had a bad start when hawked but recovered to be my clockbird in a couple of tough races.",2004,"GCPC","4773",,"","","","",40695,"",0,"","",0,"1/06/2011","","HR",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2004,"GCPC","4773","DR 4767 4773","Annets","","","","C","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Double Rung 4773,4767 Harrison bred for stock, Inbred to Ace Harrison family that have been producing winners for generations for John and Nick Annets.",,"","",,"","","","",38139,"",0,"","",0,"1/06/2004","","ANN",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"BELG","6158626","Las Vegas Lady","ED SITNER","","","","H","BC","NA","NA","","","","False","True","False","False","True","False","False","False","False","False","True","","DAM of 1609 1st Club/1st Sect/3rd Fed Gladstone 417k 1203mpm 2015,won section by 30mins. In 2016 son 1003 sired MLY(C) 15AUST1562 winner of 2nd FED QPF Jackson 1344mpm 332k. Sister to sire 2008 Emerald Classic one loft race WINNER, 2nd was Thornston Damm of Germany 26 mins later. Dam is Van Den Pasch off Millenium Doffer and inbred to LOWEIKE, similar breeding to HALOVER the 2014 MILLION DOLLAR PIGEON RACE Winner. Sire is FIGO LAS VEGAS son of world famous DE FIGO of Reynearts 1st NAT Bourges etc., brother to Kees Bosua champion producer KLEINE FIGO. Dynasty of winners, fabulous handling hen imported direct from Premier Stud UK.",2005,"BELG","3185137",2004,"NL","1114569","","",40695,"",0,"","",0,"1/06/2011","","VDP",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2006,"GOLDCUP","9542","","Kieth Saggers","","","","C","PRC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","",2004,"GB E","39959",2000,"GB K","37744","","",38869,"",0,"","",0,"1/06/2006","","SVR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2007,"MDPR","314","","Kieth Saggers","","","","H","PBB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Bred by Kieth Saggers and rung for his South Africa Million Dollar race team but didn't send. 314 is a Sired by THUNDERBOLT which won 1st FED 400 klms. THUNDERBOLT also sired 3 x 1st FED winners. SLH 11801 1st FED and 5th FED. The DAM of 314 is PHEONIX which is bred down from Smelders and Janssens famous 05 bloodline.",1999,"VHA","31274",2003,"VHA","13434","","",39234,"",0,"","",0,"1/06/2007","","SM",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2003,"AUST","16610","","Kieth Saggers","","","","C","BC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Bred for stock by Kieth Saggers from the best Smelders/DeKlak Janssens. Nick Annets purchased from TDPF Auction Stock Birds. Line bred to Jos De Klaks Champion 'FAMOUS 637' which appears at least 4 times in ancestory.",1998,"CU","08955",2001,"VHA","27901","","",37773,"",0,"","",0,"1/06/2003","","SM",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"NL","1968031","SON OF CONAN","H&L van ES","","","","C","BC","NA","NA","","","","False","True","False","False","True","False","False","False","False","False","True","","Sired BLUE ACE 3rd position QLD 10,000 one loft race in 2013, arrived as one of 1st 3 birds entered loft 3rd to win $1000. Same bird 8th Position Qld 10000 Race 1 from Emu Park (371 klms)  22 secs behind winner. SIRE of 1968031 is CONAN the sire of top prizes incl. REIMS 1/2279b, ETAMPES 2/1466b, La Souterain 9/613b + many more. CONAN Brother Koopmans DORAN 1st NAT Orleans 9670b. CONAN is son of MR EXPENSIVE x MATIJKE a G/Daughter of Koopmans champion KLEINE DIRK. SONOFCONAN DAM is top race hen QUEEN Sens 1/1939, Sens WEFO 1/2346, Sezanne 5/2346, Argenton 9/578, ",2005,"NL","1936608",2007,"NL","1004996","","",40330,"",0,"","",0,"1/06/2010","","KOM",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"SA","12305","1/2 Sis HOMEAGAI","Geoff Verrall","","","","H","BB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","12305 was purchased from Geoff Varrell, she is Dam of 895 2nd Club 4th Fed TDPF Eulo 679klms 1208.4mpm, also 895 gained on 10/8/2013 5th Club 6th Fed Nebine Creek 505klms 1230.95mpm. 12305 is 1/2 Sister to Geoff Varrells ""HOMEAGAIN"" 4th SAPHA Alice Springs 1300 klms. 12305 is an Aunt to 12309 which produced 1st Fed Thargamindah 798klms (498miles) on day of release winning Federation by 26mins only 4 day birds + 6th Fed Thargamindah + 8th Fed QPF 2nd Sect 1st Club hard Mackay. Have young in stock off this hen.",2002,"SA","04718",2003,"SA","10716","","",40695,"",0,"","",0,"1/06/2011","","MPA",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"SA","12309","Daug HOMEAGAIN","Geoff Verrall","","","","H","BB","NA","NA","","","","False","True","False","True","True","False","False","False","False","False","True","","CHAMPION PRODUCER for me being Dam of 1768 1st Fed Thargamindah 798klms (498miles) 1171.79mpm only 4 day birds, Also Dam 182 2nd club, 4th Fed Eulo 5b 650klms, Also Dam of 867 1st TRP Westmar 233klms, also 963 8th St George, also Dam of 962 6th Fed Thargamindah for Peter Burton. 12309 is Daughter of ""Homeagain"" 4th SAPHA Alice Springs 1300 klms. Dam is G/Daug ""Newcastle Cock"" P Brown Sire 4th Newcastle Classic winning $4000. Full Sister to 1st SAPHA Kieth 2647B, 24th Edenhope. 1/2 Sis 44th Wilcania Sires Produce, etc... Great bird proven producer.",2005,"SA","31610",2005,"SA","20562","","",40695,"",0,"","",0,"1/06/2011","","MPA",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"LM","2360","Mrs D","Warren March","","","","H","BLK","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Sire is son of WRIGGLER and Dam is a daughter of TITCH foundation stock Coopers in UK. WRIGGLER won 1st BICC Nat France; 1st HLFC, 11th Sec CSCFC Cholet; 16th WESRC Saintes; 5th Nat FC, 1248 th Int. DAX 11898B; 12th sec, 178th Nat FC Bordeaux. Purchased for stock from Warren March being bred from his direct Cooper Deweerdt imports.",2009,"GB N","02203",2009,"GB N","02302","","",40695,"",0,"","",0,"1/06/2011","","DEW",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"LM","2551","Mr D","Warren March","","","","C","BLK","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Uncle to FARMER GEORGE 1st International Bordeaus 2011 against 10,000b & fastest convoy 22,000b. Ace bloodline based on performance and full of quality pigeons with top International & National winners and place getters.Purchased for stock from Warren March being bred from his direct Cooper Deweerdt imports. ",2009,"GB N","02212",2009,"GB N","02209","","",40695,"",0,"","",0,"1/06/2011","","DEW",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2011,"APFA","9146","Long Neck","Phil Turner","","","","C","PC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Sire of 3rd Qld 10000 in 2014. 9146 sire G/Son KERKDUIFJE 1st Ace Bird, 1st Prize 99,104b, fastest of 120,936b. 1st Prov half font 2004, 2nd Pont St Max 1034b, 11th Chantilly 3074b, 12th NPO Bourges 11,311b. Also G/Son TIMEOUT, 1st NAT Ace Holland 04, bro to MUGGIE 2nd Le Mans Grandprix 99,184b & 2nd fastest of 120,936b, 1st Hensies 1756b & MOSQUITO 1st Peronne 21,725b. Dam is G/Daug MUGGIE also G/Daug TELETUBBLE 5th Nat Ace pigeon NPO Holland 2000,1st 3414b,1st 1506b,2nd 2443b,5th 1754b, 10th 4086b, 11th 21,243b. Sire down off Reynearts KLEIN FIGO, Dam down off DE FIGO. 2016 G/Dam of BBC 15AUST244 gained 6th FED TDPF Bourke 645k",2009,"GB Z","59321",2009,"GB Z","59792","","",40695,"",0,"","",0,"1/06/2011","","BOS",,,,,,"False","False","False","U","U","U","U","U","",,,,,
